"","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PS.G"
"18","Alan Anderson","SF",31,"BRK",78,26,22.7,2.5,6.2,0.4,1.1,3.2,0.339,1.4,3,0.464,0.487,1.2,1.5,0.78,0.5,1.7,2.2,1,0.6,0.1,0.8,1.9,7.2
"19","James Anderson","SG",24,"PHI",80,62,28.9,3.9,9,0.431,1.4,4.4,0.328,2.4,4.6,0.53,0.511,1,1.3,0.726,0.7,3,3.8,1.9,0.9,0.4,1.3,1.9,10.1
"20","Ryan Anderson","PF",25,"NOP",22,14,36.1,7,16.1,0.438,3,7.5,0.409,4,8.6,0.463,0.532,2.7,2.8,0.952,3,3.5,6.5,0.8,0.5,0.3,0.9,2.1,19.8
"21","Giannis Antetokounmpo","SF",19,"MIL",77,23,24.6,2.2,5.4,0.414,0.5,1.5,0.347,1.7,3.9,0.44,0.463,1.8,2.6,0.683,1,3.4,4.4,1.9,0.8,0.8,1.6,2.2,6.8
"22","Carmelo Anthony","PF",29,"NYK",77,77,38.7,9.6,21.3,0.452,2.2,5.4,0.402,7.5,15.9,0.469,0.503,6,7,0.848,1.9,6.2,8.1,3.1,1.2,0.7,2.6,2.9,27.4
"23","Joel Anthony","C",31,"MIA",12,0,3.1,0.2,0.5,0.333,0,0,0.0,0.2,0.5,0.333,0.333,0.2,0.2,1,0.2,0.4,0.6,0,0,0.3,0.1,0.3,0.5
"24","Joel Anthony","C",31,"BOS",21,0,7.1,0.5,1.2,0.385,0,0,0.0,0.5,1.2,0.385,0.385,0.1,0.3,0.333,0.6,0.9,1.5,0.1,0.1,0.4,0.1,0.6,1
"25","Pero Antic","PF",31,"ATL",50,26,18.5,2.5,5.9,0.418,1.1,3.4,0.327,1.3,2.5,0.545,0.514,1,1.3,0.758,1.1,3,4.2,1.2,0.4,0.2,1.1,2.5,7
"26","Trevor Ariza","SF",28,"WAS",77,77,35.4,5.1,11.1,0.456,2.3,5.7,0.407,2.7,5.3,0.509,0.562,1.9,2.5,0.772,1.3,4.9,6.2,2.5,1.6,0.3,1.7,2.3,14.4
"27","Hilton Armstrong","C",29,"GSW",15,1,6.5,0.6,1.3,0.474,0,0,0.0,0.6,1.3,0.474,0.474,0.5,1.1,0.438,1.3,1.9,3.1,0.3,0.3,0.3,0.4,0.7,1.7
"28","Darrell Arthur","SF",25,"DEN",68,1,17.1,2.4,6,0.395,0.4,0.9,0.375,2,5.1,0.399,0.424,0.8,0.9,0.855,0.8,2.3,3.1,0.9,0.6,0.7,0.9,2.7,5.9
"29","Omer Asik","C",27,"HOU",48,19,20.2,2.1,4,0.532,0,0,0.0,2.1,4,0.532,0.532,1.6,2.6,0.619,2.1,5.8,7.9,0.5,0.3,0.8,1.2,1.9,5.8
"30","D.J. Augustin","PG",26,"TOR",10,0,8.2,0.7,2.4,0.292,0.1,1.1,0.091,0.6,1.3,0.462,0.313,0.6,0.6,1,0,0.4,0.4,1,0.1,0,0.9,0.7,2.1
"31","D.J. Augustin","PG",26,"CHI",61,9,30.4,4.8,11.4,0.419,2.2,5.3,0.411,2.6,6.1,0.426,0.514,3.2,3.6,0.882,0.2,1.8,2.1,5,0.9,0,1.9,2.3,14.9
"32","Gustavo Ayon","C",28,"ATL",26,14,16.5,2,3.9,0.51,0,0,0.0,2,3.9,0.51,0.51,0.3,0.8,0.4,1.6,3.2,4.8,1.1,1,0.4,1.1,1.8,4.3
"33","Jeff Ayres","PF",26,"SAS",73,10,13,1.4,2.4,0.58,0,0,0.0,1.4,2.4,0.58,0.58,0.5,0.8,0.691,1.2,2.3,3.5,0.8,0.2,0.3,0.9,2,3.3
"34","Chris Babb","SG",23,"BOS",14,0,9.4,0.6,2.1,0.267,0.4,1.9,0.222,0.1,0.2,0.667,0.367,0,0,0.0,0.3,0.9,1.2,0.2,0.4,0,0.2,0.9,1.6
"35","Luke Babbitt","PF",24,"NOP",27,2,17.5,2.2,5.7,0.39,1.3,3.5,0.379,0.9,2.2,0.407,0.506,0.5,0.7,0.778,0.7,2.6,3.3,1.1,0.3,0.4,0.6,1.9,6.3
"36","Leandro Barbosa","PG",31,"PHO",20,0,18.4,2.8,6.6,0.427,0.4,1.3,0.28,2.5,5.3,0.462,0.454,1.6,2,0.795,0.3,1.6,1.9,1.6,0.4,0.2,1,1.5,7.5
"37","J.J. Barea","PG",29,"MIN",79,1,18.6,3.2,8.3,0.387,0.9,2.9,0.316,2.3,5.4,0.426,0.443,1,1.3,0.79,0.2,1.7,1.9,3.8,0.3,0,1.6,1.6,8.4
"38","Andrea Bargnani","C",28,"NYK",42,39,29.9,5.3,12,0.442,0.7,2.6,0.278,4.6,9.4,0.487,0.472,2,2.4,0.824,1.6,3.6,5.3,1.1,0.3,1.2,1.4,2.4,13.3
"39","Harrison Barnes","SF",21,"GSW",78,24,28.3,3.5,8.7,0.399,0.8,2.4,0.347,2.6,6.3,0.419,0.448,1.7,2.3,0.718,0.8,3.1,4,1.5,0.8,0.3,1.1,2,9.5
"40","Matt Barnes","SF",33,"LAC",63,40,27.5,3.7,8.4,0.438,1.5,4.5,0.343,2.1,3.9,0.549,0.53,1,1.4,0.733,1,3.7,4.6,2,0.9,0.4,1.3,2.9,9.9
"41","Will Barton","SG",23,"POR",41,0,9.4,1.6,3.8,0.417,0.2,0.8,0.303,1.3,3,0.447,0.449,0.6,0.8,0.813,0.4,1.4,1.8,0.8,0.2,0.2,0.4,0.8,4
"42","Brandon Bass","PF",28,"BOS",82,73,27.6,4.3,8.8,0.486,0,0.1,0.333,4.3,8.8,0.487,0.487,2.5,2.9,0.858,2,3.8,5.7,1.1,0.4,0.9,1.2,2.3,11.1
"43","Shane Battier","SF",35,"MIA",73,56,20.1,1.4,3.8,0.382,1,2.9,0.348,0.4,0.9,0.492,0.515,0.2,0.3,0.652,0.5,1.4,1.9,0.9,0.7,0.5,0.3,1.7,4.1
"44","Nicolas Batum","SF",25,"POR",82,82,36,4.6,10,0.465,1.8,4.9,0.361,2.9,5.1,0.566,0.554,2,2.5,0.803,1.4,6,7.5,5.1,0.9,0.7,2.5,1.9,13
"45","Jerryd Bayless","PG",25,"MEM",31,5,21,2.9,7.7,0.377,0.8,2.7,0.301,2.1,5,0.417,0.429,1.5,1.8,0.789,0.3,1.6,1.9,2.1,0.6,0.2,0.7,2.3,8.1
"46","Jerryd Bayless","PG",25,"BOS",41,14,25.3,3.9,9.2,0.418,1.2,3.1,0.395,2.6,6.1,0.43,0.485,1.2,1.5,0.803,0.3,1.8,2.1,3.1,1,0.1,1.5,2.2,10.1
"47","Aron Baynes","C",27,"SAS",53,4,9.3,1.3,3.1,0.436,0,0,0.0,1.3,3.1,0.436,0.436,0.4,0.4,0.905,1.1,1.7,2.7,0.6,0,0.1,0.7,1.5,3
"48","Kent Bazemore","SG",24,"GSW",44,0,6.1,0.8,2.2,0.371,0.2,0.9,0.256,0.6,1.3,0.448,0.423,0.4,0.8,0.528,0.1,0.8,0.9,0.5,0.3,0.1,0.6,1,2.3
"49","Kent Bazemore","SG",24,"LAL",23,15,28,4.8,10.7,0.451,1.4,3.9,0.371,3.4,6.8,0.497,0.518,2,3.2,0.644,0.2,3.1,3.3,3.1,1.3,0.3,2.2,2.6,13.1
"50","Bradley Beal","SG",20,"WAS",73,73,34.7,6.6,15.7,0.419,1.9,4.7,0.402,4.7,11,0.426,0.479,2,2.6,0.788,0.7,3,3.7,3.3,1,0.2,1.8,2.1,17.1
"51","Michael Beasley","SF",25,"MIA",55,2,15.1,3.2,6.5,0.499,0.4,1,0.389,2.8,5.5,0.518,0.528,1.1,1.4,0.772,0.6,2.6,3.1,0.8,0.4,0.4,1,1.7,7.9
"52","Marco Belinelli","SF",27,"SAS",80,25,25.2,4.2,8.7,0.485,1.6,3.7,0.43,2.6,5,0.525,0.576,1.4,1.6,0.847,0.2,2.6,2.8,2.2,0.6,0.1,1.2,1.6,11.4
"53","Anthony Bennett","PF",20,"CLE",52,0,12.8,1.5,4.3,0.356,0.3,1,0.245,1.3,3.3,0.39,0.384,0.8,1.3,0.638,0.9,2,3,0.3,0.4,0.2,0.9,1.8,4.2
"54","Patrick Beverley","PG",25,"HOU",56,55,31.3,3.6,8.6,0.414,1.6,4.6,0.361,1.9,4,0.473,0.509,1.5,1.8,0.814,1.3,2.2,3.5,2.7,1.4,0.4,1.2,3.1,10.2
"55","Andris Biedrins","C",27,"UTA",6,0,7.5,0.2,0.2,1,0,0,0.0,0.2,0.2,1,1,0.2,1,0.167,0.3,2.5,2.8,0,0,0,0.3,1,0.5
"56","Chauncey Billups","SG",37,"DET",19,7,16.3,1.3,4.2,0.304,0.7,2.5,0.292,0.5,1.6,0.323,0.392,0.5,0.6,0.833,0.2,1.3,1.5,2.2,0.4,0.1,1.3,1.3,3.8
"57","Bismack Biyombo","C",21,"CHA",77,9,13.9,1.1,1.9,0.611,0,0,0.0,1.1,1.9,0.611,0.611,0.6,1.2,0.517,1.4,3.4,4.8,0.1,0.1,1.1,0.5,1.6,2.9
"58","DeJuan Blair","PF",24,"DAL",78,13,15.6,2.7,5,0.534,0,0,0,2.7,5,0.537,0.534,1,1.6,0.636,1.8,2.9,4.7,0.9,0.8,0.3,1,2.5,6.4
"59","Steve Blake","PG",33,"LAL",27,27,33,3.3,8.6,0.378,1.9,4.9,0.397,1.3,3.8,0.353,0.489,1,1.3,0.8,0.3,3.5,3.8,7.6,1.3,0.1,2.6,1.8,9.5
"60","Steve Blake","PG",33,"GSW",28,1,21.7,1.6,4.3,0.375,1,2.8,0.342,0.6,1.5,0.439,0.488,0.2,0.3,0.625,0.2,1.8,2,3.6,0.7,0.2,1.1,1.3,4.4
"61","Andray Blatche","PF",27,"BRK",73,7,22.2,4.4,9.2,0.476,0.2,0.7,0.278,4.2,8.5,0.494,0.487,2.2,3,0.742,1.6,3.7,5.3,1.5,1,0.5,1.5,2.3,11.2
"62","Eric Bledsoe","PG",24,"PHO",43,40,32.9,6.2,12.9,0.477,1.2,3.3,0.357,5,9.7,0.517,0.522,4.3,5.5,0.772,0.6,4.1,4.7,5.5,1.6,0.3,3.3,2.3,17.7
"63","Vander Blue","SG",21,"BOS",3,0,5,0.7,1.3,0.5,0,0.3,0,0.7,1,0.667,0.5,0.3,1.7,0.2,0,1,1,0.3,0,0,0.7,0.3,1.7
"64","Keith Bogans","SG",33,"BOS",6,0,9.2,0.5,1,0.5,0.5,1,0.5,0,0,0.0,0.75,0.5,0.5,1,0,0.5,0.5,0.5,0.2,0,0.2,0.3,2
"65","Andrew Bogut","C",29,"GSW",67,67,26.4,3.5,5.6,0.627,0,0,0.0,3.5,5.6,0.627,0.627,0.3,1,0.344,2.7,7.3,10,1.7,0.7,1.8,1.4,3.1,7.3
"66","Matt Bonner","PF",33,"SAS",61,0,11.3,1.2,2.7,0.445,0.7,1.6,0.429,0.5,1.1,0.47,0.573,0.1,0.2,0.75,0.3,1.9,2.1,0.5,0.2,0.2,0.3,0.8,3.2
"67","Trevor Booker","PF",26,"WAS",72,45,21.6,3.1,5.6,0.551,0,0,0,3.1,5.6,0.554,0.551,0.7,1.1,0.618,2.1,3.2,5.3,0.9,0.6,0.6,0.8,1.8,6.8
"68","Carlos Boozer","PF",32,"CHI",76,76,28.2,5.9,12.9,0.456,0,0,0,5.9,12.9,0.457,0.456,1.9,2.5,0.767,1.8,6.5,8.3,1.6,0.7,0.3,2,2.8,13.7
"69","Chris Bosh","C",29,"MIA",79,79,32,6.2,12.1,0.516,0.9,2.8,0.339,5.3,9.3,0.569,0.555,2.8,3.4,0.82,1.2,5.4,6.6,1.1,1,1,1.6,2.4,16.2
"70","Avery Bradley","PG",23,"BOS",60,58,30.9,6,13.8,0.438,1.3,3.3,0.395,4.7,10.4,0.451,0.485,1.5,1.9,0.804,0.8,3,3.8,1.4,1.1,0.2,1.6,2.4,14.9
"71","Elton Brand","C",34,"ATL",73,15,19.4,2.5,4.5,0.539,0,0,0,2.5,4.5,0.542,0.539,0.8,1.3,0.649,1.3,3.6,4.9,1,0.5,1.2,0.8,2.6,5.7
"72","Corey Brewer","SF",27,"MIN",81,81,32.2,4.8,10,0.481,0.7,2.6,0.28,4.1,7.4,0.552,0.517,2,2.8,0.718,0.8,1.8,2.6,1.7,1.9,0.4,1.3,2.6,12.3
"73","Ronnie Brewer","SF",28,"HOU",23,3,6.9,0.1,0.7,0.2,0,0.3,0.125,0.1,0.3,0.286,0.233,0,0.1,0,0.1,0.5,0.6,0.4,0.3,0,0.1,0.2,0.3
"74","Ronnie Brewer","SF",28,"CHI",1,0,2,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
"75","Aaron Brooks","PG",29,"HOU",43,0,16.7,2.4,6.1,0.395,1.3,3.1,0.409,1.2,3,0.382,0.498,0.9,1,0.841,0.5,0.9,1.4,1.9,0.6,0.1,1.2,1.8,7
"76","Aaron Brooks","PG",29,"DEN",29,12,29,4.4,11,0.406,1.4,4,0.362,3,7,0.431,0.472,1.6,1.8,0.902,0.7,2,2.7,5.2,0.9,0.2,2.3,2.4,11.9
"77","MarShon Brooks","SG",25,"BOS",10,0,7.3,0.9,2.4,0.375,0.2,0.4,0.5,0.7,2,0.35,0.417,1.1,1.4,0.786,0.1,1.8,1.9,0.4,0.1,0.1,0.7,0.5,3.1
"78","MarShon Brooks","SG",25,"GSW",7,0,2.1,0.7,1.9,0.385,0,0.3,0,0.7,1.6,0.455,0.385,0.4,0.6,0.75,0.1,0.6,0.7,0,0.1,0,0,0,1.9
"79","MarShon Brooks","SG",25,"LAL",18,0,12.7,2.4,4.9,0.489,0.6,1.1,0.579,1.8,3.8,0.464,0.551,1,1.4,0.692,0.4,1.2,1.7,1.2,0.7,0.2,0.9,0.9,6.4
"80","Lorenzo Brown","PG",23,"PHI",26,0,8.6,1,3.3,0.302,0.1,1.2,0.1,0.9,2.2,0.411,0.32,0.3,0.5,0.692,0.3,0.8,1.1,1.6,0.5,0.1,0.6,0.7,2.5
"81","Shannon Brown","SG",28,"SAS",10,1,10.3,0.8,2.8,0.286,0,0.2,0,0.8,2.6,0.308,0.286,0.7,0.9,0.778,0.1,1.2,1.3,0.5,0.1,0,0.8,1.2,2.3
"82","Shannon Brown","SG",28,"NYK",19,0,7.8,0.8,2,0.421,0,0,0.0,0.8,2,0.421,0.421,0.4,0.6,0.667,0.3,0.5,0.8,0.2,0.6,0,0.5,0.6,2.1
"83","Kobe Bryant","SG",35,"LAL",6,6,29.5,5.2,12.2,0.425,0.5,2.7,0.188,4.7,9.5,0.491,0.445,3,3.5,0.857,0.3,4,4.3,6.3,1.2,0.2,5.7,1.5,13.8
"84","Chase Budinger","SF",25,"MIN",41,8,18.3,2.4,6.2,0.394,1,2.9,0.35,1.4,3.3,0.433,0.476,0.8,1,0.821,0.5,2,2.5,0.8,0.5,0,0.6,1.4,6.7
"85","Reggie Bullock","SF",22,"LAC",43,0,9.2,1,2.8,0.355,0.5,1.7,0.301,0.5,1.1,0.438,0.446,0.2,0.2,0.778,0.3,1,1.3,0.3,0.2,0,0.3,0.6,2.7
"86","Trey Burke","PG",21,"UTA",70,68,32.3,4.9,12.8,0.38,1.6,4.8,0.33,3.3,8,0.41,0.442,1.5,1.6,0.903,0.5,2.4,3,5.7,0.6,0.1,1.9,2.1,12.8
"87","Alec Burks","SG",22,"UTA",78,12,28.1,4.9,10.7,0.457,0.6,1.8,0.35,4.2,8.8,0.48,0.487,3.6,4.8,0.748,0.8,2.5,3.3,2.7,0.9,0.2,1.9,2.4,14
"88","Caron Butler","SF",33,"MIL",34,13,24.1,4,10.4,0.387,1.6,4.3,0.361,2.5,6.1,0.406,0.462,1.4,1.6,0.839,0.5,4.2,4.6,1.6,0.7,0.3,1.5,1.9,11
"89","Caron Butler","SF",33,"OKC",22,0,27.2,3.5,8.5,0.409,2,4.6,0.441,1.4,3.8,0.369,0.53,0.7,0.9,0.842,0.2,3,3.2,1.2,1.1,0.3,0.4,2.5,9.7
"90","Jimmy Butler","SG",24,"CHI",67,67,38.7,4.1,10.3,0.397,1,3.6,0.283,3.1,6.8,0.457,0.446,3.9,5,0.769,1.3,3.6,4.9,2.6,1.9,0.5,1.5,1.6,13.1
"91","Rasual Butler","SG",34,"IND",50,2,7.6,1,2.2,0.464,0.5,1.2,0.419,0.5,1,0.521,0.582,0.2,0.3,0.571,0.1,0.7,0.8,0.3,0.1,0.2,0.2,0.6,2.7
"92","Dwight Buycks","PG",24,"TOR",14,0,10.4,1.1,3.4,0.313,0.4,1.2,0.294,0.7,2.2,0.323,0.365,0.6,0.6,0.889,0.3,1.4,1.6,0.7,0.6,0,0.7,0.8,3.1
"93","Andrew Bynum","C",26,"CLE",24,19,20,3.5,8.5,0.419,0,0,0.0,3.5,8.5,0.419,0.419,1.3,1.8,0.762,2,3.3,5.3,1.1,0.3,1.2,1.3,1.2,8.4
"94","Andrew Bynum","C",26,"IND",2,0,18,4.5,11,0.409,0,0,0.0,4.5,11,0.409,0.409,2.5,3.5,0.714,3,6.5,9.5,1,0,0.5,2,1.5,11.5
"95","Will Bynum","PG",31,"DET",56,3,18.8,3.3,7.7,0.428,0.4,1.1,0.323,2.9,6.6,0.446,0.451,1.7,2.2,0.802,0.4,1.3,1.8,3.9,0.7,0.1,1.8,2.2,8.7
"96","Nick Calathes","SG",24,"MEM",71,7,16.5,2,4.4,0.457,0.3,0.9,0.311,1.7,3.5,0.492,0.487,0.6,1,0.611,0.3,1.6,1.9,2.9,0.9,0.1,1.4,1.6,4.9
"97","Jose Calderon","PG",32,"DAL",81,81,30.5,4.2,9.2,0.456,2.4,5.2,0.449,1.9,4,0.464,0.584,0.6,0.8,0.825,0.4,2,2.4,4.7,0.9,0.1,1.3,1.7,11.4
"98","Kentavious Caldwell-Pope","SG",20,"DET",80,41,19.8,2.3,5.8,0.396,0.7,2.3,0.319,1.5,3.4,0.447,0.46,0.6,0.8,0.77,0.5,1.5,2,0.7,0.9,0.2,0.4,1.8,5.9
"99","Isaiah Canaan","PG",22,"HOU",22,0,11.5,1.4,4,0.356,0.8,2.5,0.327,0.6,1.5,0.406,0.46,1,1.3,0.724,0.3,0.8,1.1,1,0.4,0.2,1,1.1,4.6
"100","DeMarre Carroll","SF",27,"ATL",73,73,32.1,4.1,8.8,0.47,1.3,3.7,0.362,2.8,5.1,0.548,0.546,1.5,1.9,0.773,1.5,4.1,5.5,1.8,1.5,0.3,1.1,2.6,11.1
"101","Vince Carter","SG",37,"DAL",81,0,24.4,4.1,10,0.407,1.8,4.6,0.394,2.3,5.4,0.418,0.497,2,2.4,0.821,0.8,2.7,3.5,2.6,0.8,0.4,1.3,2.6,11.9
"102","Michael Carter-Williams","PG",22,"PHI",70,70,34.5,6.1,15.1,0.405,0.8,3,0.264,5.3,12.1,0.44,0.431,3.7,5.2,0.703,1.4,4.8,6.2,6.3,1.9,0.6,3.5,3,16.7
"103","Omri Casspi","PF",25,"HOU",71,2,18.1,2.4,5.8,0.422,0.9,2.5,0.347,1.6,3.3,0.479,0.496,1.2,1.7,0.68,0.8,2.9,3.7,1.2,0.6,0.2,1,1.4,6.9
"104","Mario Chalmers","PG",27,"MIA",73,73,29.8,3.5,7.7,0.454,1.2,3.1,0.385,2.3,4.6,0.5,0.531,1.7,2.2,0.742,0.6,2.4,2.9,4.9,1.6,0.2,2.2,2.9,9.8
"105","Tyson Chandler","C",31,"NYK",55,55,30.2,3.5,5.9,0.593,0,0,0,3.5,5.8,0.595,0.593,1.8,2.8,0.632,2.9,6.7,9.6,1.1,0.7,1.1,1.3,2.6,8.7
"106","Wilson Chandler","SF",26,"DEN",62,55,31.1,5,11.9,0.416,2,5.7,0.348,3,6.2,0.478,0.499,1.8,2.5,0.724,0.9,3.8,4.7,1.8,0.7,0.5,1.3,3.1,13.6
"107","Josh Childress","SF",30,"NOP",4,0,6,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0,0.8,0.8,0.5,0.3,0,0.3,0.3,0
"108","Dionte Christmas","SF",27,"PHO",31,0,6.4,0.7,2,0.355,0.3,1,0.29,0.4,1,0.419,0.427,0.6,0.8,0.75,0.4,0.8,1.2,0.3,0.1,0.1,0.2,0.6,2.3
"109","Earl Clark","PF",26,"CLE",45,17,15.5,2,5.3,0.375,0.9,2.6,0.345,1.1,2.8,0.403,0.458,0.3,0.5,0.583,0.4,2.4,2.8,0.4,0.4,0.4,0.7,1.4,5.2
"110","Earl Clark","PF",26,"NYK",9,0,7.8,0.8,2.3,0.333,0.1,0.7,0.167,0.7,1.7,0.4,0.357,0.9,1.1,0.8,0.2,1.6,1.8,0.2,0.1,0.7,0.1,0.7,2.6
"111","Ian Clark","SG",22,"UTA",23,0,7.5,1.1,2.9,0.388,0.5,1.3,0.355,0.7,1.6,0.417,0.47,0.2,0.3,0.714,0.1,0.7,0.8,0.7,0.3,0.1,0.6,1,3
"112","Victor Claver","SF",25,"POR",21,0,8.8,0.8,2,0.405,0.1,0.9,0.167,0.7,1.1,0.583,0.44,0.5,0.5,0.909,0.4,1.4,1.9,0.6,0.1,0.1,0.5,0.8,2.2
"113","Norris Cole","PG",25,"MIA",82,6,24.6,2.5,6.1,0.414,0.7,2.1,0.345,1.8,4,0.451,0.474,0.6,0.8,0.779,0.2,1.7,2,3,0.9,0.1,1.5,1.9,6.4
"114","Jason Collins","C",35,"BRK",22,1,7.8,0.5,1.1,0.458,0,0.1,0,0.5,1,0.524,0.458,0.1,0.2,0.75,0.3,0.5,0.9,0.2,0.4,0,0.3,1.4,1.1
"115","Darren Collison","PG",26,"LAC",80,35,25.9,4.1,8.7,0.467,0.9,2.4,0.376,3.2,6.3,0.501,0.518,2.4,2.8,0.857,0.6,1.8,2.4,3.7,1.2,0.2,1.7,1.9,11.4
"116","Nick Collison","PF",33,"OKC",81,0,16.7,1.7,3,0.556,0,0.2,0.235,1.6,2.8,0.58,0.564,0.8,1.1,0.71,1.4,2.2,3.6,1.3,0.4,0.3,0.9,2.3,4.2
"117","Mike Conley","PG",26,"MEM",73,73,33.5,6.3,14.1,0.45,1.4,4,0.361,4.9,10.1,0.484,0.5,3.1,3.8,0.815,0.6,2.4,2.9,6,1.5,0.2,2.1,1.9,17.2
"118","Chris Copeland","SF",29,"IND",41,0,6.5,1.3,2.9,0.47,0.8,1.9,0.418,0.5,0.9,0.579,0.611,0.2,0.3,0.714,0.2,0.6,0.8,0.4,0.1,0.2,0.3,0.9,3.7
"119","DeMarcus Cousins","C",23,"SAC",71,71,32.4,8.3,16.8,0.496,0,0.1,0,8.3,16.7,0.499,0.496,6.1,8.4,0.726,3.1,8.6,11.7,2.9,1.5,1.3,3.5,3.8,22.7
"120","Robert Covington","SF",23,"HOU",7,0,4.9,0.9,2,0.429,0.6,1.6,0.364,0.3,0.4,0.667,0.571,0,0,0.0,0.3,0.4,0.7,0,0.3,0,0.1,0.4,2.3
"121","Allen Crabbe","SG",21,"POR",15,0,6.7,0.8,2.2,0.364,0.4,0.9,0.429,0.4,1.3,0.316,0.455,0.2,0.3,0.75,0.1,0.5,0.6,0.4,0.1,0.1,0.2,0.7,2.2
"122","Jamal Crawford","SG",33,"LAC",69,24,30.3,6.1,14.7,0.416,2.3,6.5,0.361,3.8,8.2,0.46,0.496,4,4.7,0.866,0.5,1.8,2.3,3.2,0.9,0.2,2,1.7,18.6
"123","Jordan Crawford","SG",25,"BOS",39,35,30.7,4.8,11.7,0.413,1.3,4,0.318,3.5,7.6,0.463,0.468,2.8,3.2,0.873,0.5,2.6,3.1,5.7,0.9,0.1,2.2,1.9,13.7
